feature,importance
season_avg_points,0.21744151798160796
player_value,0.11873560904801238
position_percentile,0.10355954406730786
ownership_pct,0.07283306393562634
avg_position_points,0.07022947911500348
points_per_90,0.06456314971769471
consistency_score,0.060978649195309056
team_form,0.0467403138344572
team_defense_weakness,0.04220755026335876
games_played_to_date,0.041664897275256574
avg_points_3gw,0.0375510232597984
avg_points_5gw,0.03676675595139143
is_home,0.02517146567900717
team_attack,0.02060431673050707
blank_rate,0.012191430399533736
position_encoded,0.010438891892566369
big_haul_rate,0.006236314122497562
above_position_threshold,0.004868141727363116
played_full_game,0.004257876844754321
improving_form,0.002629850122637647
consistent_performer,0.00033015883630871455
was_benched,0.0
